dial_name,turn_id,context,query,gold,s2s,larl,mog,message
PMUL3310.json,0,nan,i am looking for a brazliian restaurant in the [value_area] .,"sorry , i could not find any food of that type .","i am sorry , but there are no restaurant -s that serve _UNK food . would you like to try something else ?",[restaurant_name] is a [value_food] restaurant in the [value_area] part of town . their phone number is [restaurant_phone] and their postcode is [restaurant_postcode] .,"i am sorry , there are no _UNK restaurant -s in the [value_area] . would you like to try a different type of food ?","You are planning your trip in Cambridge<br/>You are looking for a <span class='emphasis'>restaurant</span>. The restaurant should serve <span class='emphasis'>brazilian</span> food and should be in the <span class='emphasis'>centre</span><br/>The restaurant should be in the <span class='emphasis'>moderate</span> price range<br/>If there is no such restaurant, how about one that serves <span class='emphasis'>british</span> food<br/>Once you find the <span class='emphasis'>restaurant</span> you want to book a table for <span class='emphasis'>6 people</span> at <span class='emphasis'>13:00</span> on <span class='emphasis'>monday</span><br/>If the booking fails how about <span class='emphasis'>wednesday</span><br/>Make sure you get the <span class='emphasis'>reference number</span><br/>You are also looking for a <span class='emphasis'>train</span>. The train should depart from <span class='emphasis'>cambridge</span> and should go to <span class='emphasis'>ely</span><br/>The train should <span class='emphasis'>arrive by 12:30</span> and should leave on <span class='emphasis'>thursday</span><br/>Once you find the train you want to make a booking for <span class='emphasis'>the same group of people</span><br/>Make sure you get the <span class='emphasis'>reference number</span>"
PMUL2497.json,0,nan,hi ! i would like to find a restaurant located in the [value_area] please .,there are [value_count] restaurant -s in the [value_area] did you have a preferred cuisine type ?,there are [value_count] restaurant -s in the [value_area] . what type of food would you like to eat ?,i would suggest [restaurant_name] . the address is [restaurant_address] and the postcode is [restaurant_postcode] .,there are [value_count] restaurant -s in the [value_area] of town . what type of food would you like ?,"You are traveling to Cambridge and looking forward to try local restaurants<br/>You are looking for a <span class='emphasis'>restaurant</span>. The restaurant should be in the <span class='emphasis'>centre</span> and should serve <span class='emphasis'>modern european</span> food<br/>The restaurant should be in the <span class='emphasis'>moderate</span> price range<br/>Once you find the <span class='emphasis'>restaurant</span> you want to book a table for <span class='emphasis'>7 people</span> at <span class='emphasis'>19:30</span> on <span class='emphasis'>wednesday</span><br/>If the booking fails how about <span class='emphasis'>friday</span><br/>Make sure you get the <span class='emphasis'>reference number</span><br/>You are also looking for <span class='emphasis'>places to go</span> in town. The attraction should be in the type of <span class='emphasis'>entertainment</span> and should be <span class='emphasis'>in the same area as the restaurant</span><br/>If there is no such attraction, how about one that is in <span class='emphasis'>the type of boat</span><br/>Make sure you get <span class='emphasis'>phone number</span><br/>You also want to book a <span class='emphasis'>taxi</span> to commute between the two places<br/>You want to make sure it arrives the restaurant <span class='emphasis'>by the booked time</span><br/>Make sure you get <span class='emphasis'>contact number</span> and <span class='emphasis'>car type</span>"
PMUL1091.json,0,nan,can you locate for me a train that leaves on [value_day] after [value_time] pm ? thanks .,there is a train that leaves [value_place] at [value_time] and arrives at [value_place] at [value_time] on [value_day] .,"yes , there are [value_count] trains that day . what is your destination ?",where will you be departing from ?,i would be happy to help . where will you be departing from ?,"You are looking for information in Cambridge<br/>You are looking for a <span class='emphasis'>train</span>. The train should leave on <span class='emphasis'>tuesday</span> and should <span class='emphasis'>leave after 15:15</span><br/>The train should depart from <span class='emphasis'>cambridge</span> and should go to <span class='emphasis'>kings lynn</span><br/>Once you find the train you want to make a booking for <span class='emphasis'>8 people</span><br/>Make sure you get the <span class='emphasis'>reference number</span><br/>You are also looking for <span class='emphasis'>places to go</span> in town. The attraction should be in the <span class='emphasis'>centre</span> and should be in the type of <span class='emphasis'>theatre</span><br/>Make sure you get <span class='emphasis'>address</span>, <span class='emphasis'>postcode</span>, and <span class='emphasis'>phone number</span>"
PMUL4026.json,0,nan,i am looking for a [value_pricerange] -ly priced [value_food] restaurant .,i have several options for you . what area would you like to dine in today ?,i have [value_count] restaurant -s that meet your criteria . would you like to book [value_count] of them ?,[restaurant_name] is a [value_food] restaurant in the [value_area] part of town . their phone number is [restaurant_phone] and their postcode is [restaurant_postcode] .,there are [value_count] [value_pricerange] [value_food] restaurant -s in town . is there a particular area you would like to dine in ?,You are traveling to Cambridge and excited about seeing local tourist attractions<br/>You are looking for a <span class='emphasis'>place to dine</span>. The restaurant should serve <span class='emphasis'>indian</span> food and should be in the <span class='emphasis'>moderate</span> price range<br/>The restaurant should be in the <span class='emphasis'>west</span><br/>Once you find the <span class='emphasis'>restaurant</span> you want to book a table for <span class='emphasis'>6 people</span> at <span class='emphasis'>17:30</span> on <span class='emphasis'>wednesday</span><br/>If the booking fails how about <span class='emphasis'>tuesday</span><br/>Make sure you get the <span class='emphasis'>reference number</span><br/>You are also looking for <span class='emphasis'>places to go</span> in town. The attraction should be in the type of <span class='emphasis'>concerthall</span><br/>Make sure you get <span class='emphasis'>area</span> and <span class='emphasis'>entrance fee</span><br/>You also want to book a <span class='emphasis'>taxi</span> to commute between the two places<br/>You want to make sure it arrives the restaurant <span class='emphasis'>by the booked time</span><br/>Make sure you get <span class='emphasis'>contact number</span> and <span class='emphasis'>car type</span>
PMUL2670.json,0,nan,"hi , i am excited to visit some of [value_place] s tourist attractions soon . can you help me find a place to stay ?","yes , i can help with that . what area would you like to stay in ?",i can help with that . what area of town would you like to stay in ?,"sure , i can help you with that . there are [value_count] hotel -s that meet your criteria . do you have a preference for the area of town you want to stay in ?","sure , i can help you with that . what area of town would you like to stay in ?","You are traveling to Cambridge and excited about seeing local tourist attractions<br/>You are looking for a <span class='emphasis'>place to stay</span>. The hotel should <span class='emphasis'>include free parking</span> and should be in the <span class='emphasis'>moderate</span> price range<br/>The hotel should be in the <span class='emphasis'>east</span> and should be in the type of <span class='emphasis'>hotel</span><br/>If there is no such hotel, how about one that is in <span class='emphasis'>the type of guesthouse</span><br/>Make sure you get <span class='emphasis'>star of the hotel</span><br/>You are also looking for <span class='emphasis'>places to go</span> in town. The attraction should be in the type of <span class='emphasis'>museum</span><br/>Make sure you get <span class='emphasis'>address</span> and <span class='emphasis'>area</span>"
MUL0148.json,0,nan,i am looking for a centrally located upscale restaurant .,i can book you at the [restaurant_name] if you would like .,i have [value_count] restaurant -s that meet your criteria . is there a specific type of cuisine you would like to dine ?,[restaurant_name] is a [value_food] restaurant in the [value_area] part of town . their phone number is [restaurant_phone] and their postcode is [restaurant_postcode] .,there are [value_count] restaurant -s in the [value_area] of town . what type of food would you like ?,"You are planning your trip in Cambridge<br/>You are looking for a <span class='emphasis'>place to dine</span>. The restaurant should be in the <span class='emphasis'>centre</span> and should be in the <span class='emphasis'>expensive</span> price range<br/>Once you find the <span class='emphasis'>restaurant</span> you want to book a table for <span class='emphasis'>3 people</span> at <span class='emphasis'>17:30</span> on <span class='emphasis'>sunday</span><br/>Make sure you get the <span class='emphasis'>reference number</span><br/>You are also looking for a <span class='emphasis'>place to stay</span>. The hotel should be in the <span class='emphasis'>same price range as the restaurant</span> and should be in the type of <span class='emphasis'>hotel</span><br/>The hotel should <span class='emphasis'>include free parking</span><br/>Make sure you get <span class='emphasis'>phone number</span>, <span class='emphasis'>whether they have internet</span>, and <span class='emphasis'>address</span>"
MUL1546.json,0,nan,do you have a [value_day] train that i can take to [value_place] ? i want to try some local restaurant -s .,"we have thousands of options , i will need to narrow this down . where will you be coming from and do you have a date and time preference ?","yes , there are [value_count] trains that day . what is your destination ?",there are [value_count] trains leaving [value_place] on [value_day] . what day would you like to travel ?,there are many trains that day . what day would you like to travel ?,You are traveling to Cambridge and looking forward to try local restaurants<br/>You are looking for a <span class='emphasis'>train</span>. The train should leave on <span class='emphasis'>monday</span> and should go to <span class='emphasis'>cambridge</span><br/>The train should <span class='emphasis'>arrive by 12:15</span> and should depart from <span class='emphasis'>stevenage</span><br/>Once you find the train you want to make a booking for <span class='emphasis'>5 people</span><br/>Make sure you get the <span class='emphasis'>reference number</span><br/>You are also looking for a <span class='emphasis'>particular restaurant</span>. Its name is called <span class='emphasis'>golden house</span><br/>Make sure you get <span class='emphasis'>phone number</span> and <span class='emphasis'>price range</span>
SNG0892.json,1,"U1: i am looking for a hotel with at least a [value_count] star rating .<br/>S1: we have [value_count] hotel -s and guesthouses that have [value_count] star rating -s . is there a particular part of town , or a particular price range that you are interested in ?",i am not to worried about price but the hotel needs to have free wifi .,the [hotel_name] is in the [value_area] and [hotel_name] is in the [value_area] . they both have free wifi . would you like me to book [value_count] for you ?,i have [value_count] hotel -s that meet your criteria . do you have a price range you would like to stay in ?,"the [hotel_name] is a guesthouse in the [value_area] part of town with a [value_pricerange] price range , and their phone number is [hotel_phone] .",i have found [value_count] hotel -s that match your request . is there a particular area you would like to stay in ?,"You are looking for a <span class='emphasis'>place to stay</span>. The hotel should be in the <span class='emphasis'>moderate</span> price range and should have <span class='emphasis'>a star of 3</span><br/>The hotel should <span class='emphasis'>include free wifi</span> and should be in the type of <span class='emphasis'>hotel</span><br/>If there is no such hotel, how about one that is in <span class='emphasis'>the type of guesthouse</span><br/>Make sure you get <span class='emphasis'>phone number</span> and <span class='emphasis'>address</span>"
MUL1342.json,1,"U1: hi , i am trying to find a [value_pricerange] place to eat in the [value_area] . can you help ?<br/>S1: i have found a place called [restaurant_name] that fits that . would you like me to place a reservation for you ?",actually i am more interested in middle eastern foods .,"i have no listings for middle [value_area] food , another type maybe ?","i am sorry , there are no restaurant -s that serve _UNK food . would you like to try a different type of cuisine ?","[restaurant_name] is at [restaurant_address] , [restaurant_postcode] . their phone number is [restaurant_phone] .","i am sorry , there are no _UNK restaurant -s in the [value_area] . would you like to try a different type of food ?","You are looking for information in Cambridge<br/>You are looking for a <span class='emphasis'>restaurant</span>. The restaurant should be in the <span class='emphasis'>east</span> and should be in the <span class='emphasis'>moderate</span> price range<br/>The restaurant should serve <span class='emphasis'>middle eastern</span> food<br/>If there is no such restaurant, how about one that serves <span class='emphasis'>indian</span> food<br/>Once you find the <span class='emphasis'>restaurant</span> you want to book a table for <span class='emphasis'>8 people</span> at <span class='emphasis'>12:15</span> on <span class='emphasis'>sunday</span><br/>Make sure you get the <span class='emphasis'>reference number</span><br/>You are also looking for a <span class='emphasis'>place to stay</span>. The hotel should have <span class='emphasis'>a star of 2</span> and should <span class='emphasis'>include free wifi</span><br/>The hotel should <span class='emphasis'>include free parking</span><br/>Once you find the <span class='emphasis'>hotel</span> you want to book it for <span class='emphasis'>the same group of people</span> and <span class='emphasis'>2 nights</span> starting from <span class='emphasis'>the same day</span><br/>Make sure you get the <span class='emphasis'>reference number</span><br/>You also want to book a <span class='emphasis'>taxi</span> to commute between the two places<br/>You want to make sure it arrives the restaurant <span class='emphasis'>by the booked time</span><br/>Make sure you get <span class='emphasis'>contact number</span> and <span class='emphasis'>car type</span>"
MUL2053.json,0,nan,hi there . can you help me find a [value_count] star rated hotel or guesthouse ?,[hotel_name] is a [value_count] star hotel in [hotel_address],i have [value_count] hotel -s that meet your needs . [value_count] is [value_pricerange] and [value_count] is [value_pricerange] . do you have a preference ?,[hotel_name] is a [value_count] star guesthouse in the [value_pricerange] price range . their phone number is [hotel_phone] .,i have [value_count] hotel -s that match your request . is there a particular area you would like to stay in ?,You are looking for information in Cambridge<br/>You are looking for a <span class='emphasis'>place to stay</span>. The hotel should <span class='emphasis'>include free wifi</span> and should have <span class='emphasis'>a star of 2</span><br/>The hotel should be in the <span class='emphasis'>east</span> and should be in the type of <span class='emphasis'>hotel</span><br/>Once you find the <span class='emphasis'>hotel</span> you want to book it for <span class='emphasis'>3 people</span> and <span class='emphasis'>4 nights</span> starting from <span class='emphasis'>tuesday</span><br/>Make sure you get the <span class='emphasis'>reference number</span><br/>You are also looking for a <span class='emphasis'>train</span>. The train should go to <span class='emphasis'>cambridge</span> and should be on <span class='emphasis'>the same day as the hotel booking</span><br/>The train should depart from <span class='emphasis'>peterborough</span> and should <span class='emphasis'>arrive by 11:45</span><br/>Make sure you get <span class='emphasis'>departure time</span> and <span class='emphasis'>travel time</span>
